GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017,respop72018
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017,Population Estimate (as of July 1) - 2018
310M400US22300,22300,"Findlay, OH Micro Area",74782,74789,74690,74904,75454,75576,75275,75635,75742,75869,75930
310M400US22340,22340,"Fitzgerald, GA Micro Area",17634,17637,17623,17566,17580,17429,17430,17334,17216,17001,16787
310M400US22580,22580,"Forest City, NC Micro Area",67810,67816,67737,67408,67214,66848,66567,66388,66311,66568,66826
310M400US22620,22620,"Forrest City, AR Micro Area",28258,28254,28195,27989,27993,27510,27096,26654,26344,25938,25439
310M400US22700,22700,"Fort Dodge, IA Micro Area",38013,38013,37884,37746,37325,37333,37070,37048,36746,36643,36277
310M400US22780,22780,"Fort Leonard Wood, MO Micro Area",52274,52274,52850,53264,53452,54062,53532,53169,52393,51846,52014
310M400US22800,22800,"Fort Madison-Keokuk, IA-IL-MO Micro Area",62105,62095,62075,61588,61331,60677,60266,59916,59401,58943,58741
310M400US22820,22820,"Fort Morgan, CO Micro Area",28159,28159,28243,28453,28257,28236,28120,28237,28143,28228,28558
310M400US22840,22840,"Fort Payne, AL Micro Area",71109,71116,71159,71352,70937,70911,70999,71112,71101,71404,71385
310M400US22860,22860,"Fort Polk South, LA Micro Area",52334,52334,52714,52238,54088,52787,52793,51415,51449,50519,48860
310M400US23140,23140,"Frankfort, IN Micro Area",33224,33219,33221,33032,32890,32773,32471,32381,32198,32207,32250
310M400US23180,23180,"Frankfort, KY Micro Area",70706,70730,70723,70874,71161,71234,71603,71987,72459,73022,73478
310M400US23240,23240,"Fredericksburg, TX Micro Area",24837,24836,24887,25053,25193,25385,25495,25954,26259,26530,26804
310M400US23300,23300,"Freeport, IL Micro Area",47711,47711,47607,47319,46886,46672,46267,45668,45497,44981,44753
310M400US23340,23340,"Fremont, NE Micro Area",36691,36685,36672,36927,36587,36498,36616,36560,36655,36794,36791
310M400US23380,23380,"Fremont, OH Micro Area",60944,60946,60886,60603,60463,60049,59827,59462,59297,59112,58799
310M400US23500,23500,"Gaffney, SC Micro Area",55342,55488,55535,55701,55822,56061,56358,56511,56683,56925,57078
310M400US23620,23620,"Gainesville, TX Micro Area",38437,38439,38474,38444,38722,38463,38771,39173,39355,39984,40574
310M400US23660,23660,"Galesburg, IL Micro Area",52919,52925,52913,52699,52297,52127,51944,51374,50938,50628,50112
310M400US23700,23700,"Gallup, NM Micro Area",71492,71485,71672,72328,72374,72674,72807,73461,73106,72574,72290
310M400US23780,23780,"Garden City, KS Micro Area",40753,40767,40955,41077,41098,41009,41087,41144,40865,40793,40554
310M400US23820,23820,"Gardnerville Ranchos, NV Micro Area",46997,46997,47034,46969,46911,46938,47382,47424,47848,48018,48467
310M400US23860,23860,"Georgetown, SC Micro Area",60158,60328,60347,60188,60258,60501,60850,61483,61604,61841,62249
310M400US23940,23940,"Gillette, WY Micro Area",46133,46133,46245,46543,47855,48038,48132,49269,48746,46251,46140
310M400US23980,23980,"Glasgow, KY Micro Area",52272,52275,52260,52389,52594,52903,53037,53480,53801,53894,54206
310M400US24060,24060,"Glenwood Springs, CO Micro Area",73537,73538,73252,73240,74087,74440,74927,75708,76814,77065,77720
310M400US24100,24100,"Gloversville, NY Micro Area",55531,55520,55462,55115,54853,54359,53945,53800,53604,53777,53591
310M400US24330,24330,"Grand Rapids, MN Micro Area",45058,45051,45030,45091,45139,45324,45321,45261,45164,45161,45108
310M400US24380,24380,"Grants, NM Micro Area",27213,27215,27320,27488,27414,27419,27158,27047,27043,26895,26746
310M400US24460,24460,"Great Bend, KS Micro Area",27674,27672,27674,27694,27526,27453,27345,27173,26896,26432,26111
310M400US24620,24620,"Greeneville, TN Micro Area",68831,68825,68833,69097,68698,68330,68467,68521,68511,68759,69087
310M400US24640,24640,"Greenfield Town, MA Micro Area",71372,71377,71366,71679,71678,71355,71295,70902,70728,70787,70963
310M400US24700,24700,"Greensburg, IN Micro Area",25740,25739,25798,25898,26041,26234,26414,26336,26562,26652,26794
310M400US24740,24740,"Greenville, MS Micro Area",51137,51135,51096,50449,50016,49662,49012,47965,47186,46202,45063
310M400US24820,24820,"Greenville, OH Micro Area",52959,52969,52965,52647,52511,52306,52182,51973,51614,51577,51323
310M400US24900,24900,"Greenwood, MS Micro Area",42914,42979,43020,42500,41200,41074,40949,40462,39981,39441,38830
310M400US24940,24940,"Greenwood, SC Micro Area",95078,95110,95098,94925,94983,94730,94476,94785,94913,95147,95282
310M400US24980,24980,"Grenada, MS Micro Area",21906,21905,21841,21609,21620,21539,21605,21452,21224,21056,21055
310M400US25100,25100,"Guymon, OK Micro Area",20640,20640,20813,21245,21556,22022,21733,21439,21121,20856,20455
310M400US25200,25200,"Hailey, ID Micro Area",27701,27700,27618,27330,27478,27701,27850,28015,28345,28712,29088
310M400US25300,25300,"Hannibal, MO Micro Area",38948,38948,38970,39048,38959,38924,39034,38861,38913,38835,38804
310M400US25460,25460,"Harrison, AR Micro Area",45233,45237,45198,45332,45379,45366,44981,44970,45120,45323,45285
310M400US25580,25580,"Hastings, NE Micro Area",31364,31367,31328,31204,31347,31534,31396,31569,31663,31774,31511
310M400US25700,25700,"Hays, KS Micro Area",28452,28452,28424,28762,29086,29030,28963,29002,28948,28769,28710
310M400US25720,25720,"Heber, UT Micro Area",23530,23525,23644,24408,25345,26589,27822,29147,30430,31975,33240
310M400US25740,25740,"Helena, MT Micro Area",74801,74798,74983,75637,76048,76688,77206,77802,78680,79786,80797
