GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
Id,Id2,Geography,"April 1, 2010 - Census","April 1, 2010 - Estimates Base",Population Estimate (as of July 1) - 2010,Population Estimate (as of July 1) - 2011,Population Estimate (as of July 1) - 2012,Population Estimate (as of July 1) - 2013,Population Estimate (as of July 1) - 2014,Population Estimate (as of July 1) - 2015,Population Estimate (as of July 1) - 2016,Population Estimate (as of July 1) - 2017
310M300US15940,15940,"Canton-Massillon, OH Metro Area",404422,404428,404214,403291,403403,403281,403680,402435,401165,399927
310M300US15980,15980,"Cape Coral-Fort Myers, FL Metro Area",618754,618754,620467,631077,644580,660431,678241,700421,722506,739224
310M300US16020,16020,"Cape Girardeau, MO-IL Metro Area",96275,96275,96448,96937,97193,97187,97396,97231,97085,96782
310M300US16060,16060,"Carbondale-Marion, IL Metro Area",126575,126580,126813,127041,125752,127067,126712,126896,126672,125612
310M300US16180,16180,"Carson City, NV Metro Area",55274,55274,54988,54703,54362,53791,54155,54123,54283,54745
310M300US16220,16220,"Casper, WY Metro Area",75450,75450,75456,76421,78583,81101,81439,82134,80892,79547
310M300US16300,16300,"Cedar Rapids, IA Metro Area",257940,257941,258395,260796,261740,262449,263963,265984,267925,270293
310M300US16540,16540,"Chambersburg-Waynesboro, PA Metro Area",149618,149618,149930,150952,151477,151855,152459,152903,153564,154234
310M300US16580,16580,"Champaign-Urbana, IL Metro Area",231891,231889,232333,233391,234478,235731,237028,238228,239135,239124
310M300US16620,16620,"Charleston, WV Metro Area",227078,227061,226901,225823,225696,224644,222802,220236,217735,214406
310M300US16700,16700,"Charleston-North Charleston, SC Metro Area",664607,664644,667466,681261,696993,711407,726770,745061,761904,775831
310M300US16740,16740,"Charlotte-Concord-Gastonia, NC-SC Metro Area",2217012,2216992,2223196,2256180,2293822,2334036,2376148,2424115,2475519,2525305
310M300US16820,16820,"Charlottesville, VA Metro Area",218705,218707,219025,220947,222649,224057,226297,228818,231160,233793
310M300US16860,16860,"Chattanooga, TN-GA Metro Area",528143,528152,529196,533540,538108,542036,544017,547232,551957,556548
310M300US16940,16940,"Cheyenne, WY Metro Area",91738,91881,92219,92587,94704,95731,96123,97005,97968,98327
310M300US16980,16980,"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9461105,9461541,9471312,9497177,9525765,9548402,9560874,9557503,9546326,9533040
310M300US17020,17020,"Chico, CA Metro Area",220000,220002,219957,220003,220969,221768,223629,224818,226525,229294
310M300US17140,17140,"Cincinnati, OH-KY-IN Metro Area",2114580,2114686,2117729,2122544,2128106,2136269,2146562,2155674,2166029,2179082
310M300US17300,17300,"Clarksville, TN-KY Metro Area",260625,260635,261619,264163,274004,272031,276442,279865,280843,285042
310M300US17420,17420,"Cleveland, TN Metro Area",115788,115758,115913,116583,117674,118383,119501,120565,121177,122317
310M300US17460,17460,"Cleveland-Elyria, OH Metro Area",2077240,2077271,2075557,2068991,2064711,2065844,2066227,2062842,2060065,2058844
310M300US17660,17660,"Coeur d'Alene, ID Metro Area",138494,138464,138856,140881,142071,143887,146556,149414,153144,157637
310M300US17780,17780,"College Station-Bryan, TX Metro Area",228660,228668,229449,231451,234126,237820,242533,250138,254230,258044
310M300US17820,17820,"Colorado Springs, CO Metro Area",645613,645615,650299,659959,668271,677296,685223,695830,710746,723878
310M300US17860,17860,"Columbia, MO Metro Area",162642,162643,163168,166019,168674,170937,172787,174395,176555,178271
310M300US17900,17900,"Columbia, SC Metro Area",767598,767476,769685,776454,783462,791164,799106,809147,817443,825033
310M300US17980,17980,"Columbus, GA-AL Metro Area",294865,295531,296507,302453,310072,315784,313038,310545,306712,303811
310M300US18020,18020,"Columbus, IN Metro Area",76794,76786,76809,77579,78914,79572,80350,81286,81873,82040
310M300US18140,18140,"Columbus, OH Metro Area",1901974,1902001,1906365,1926142,1946644,1971120,1998460,2023198,2046977,2078725
310M300US18580,18580,"Corpus Christi, TX Metro Area",428185,428188,427872,430908,436575,442812,447671,452355,454066,454008
310M300US18700,18700,"Corvallis, OR Metro Area",85579,85592,85561,85976,86368,85934,86956,88106,89296,90951
310M300US18880,18880,"Crestview-Fort Walton Beach-Destin, FL Metro Area",235865,235865,235927,238668,246972,251914,255831,260796,265355,271346
310M300US19060,19060,"Cumberland, MD-WV Metro Area",103299,103261,103161,102615,101821,101268,100576,99864,99516,98837
310M300US19100,19100,"Dallas-Fort Worth-Arlington, TX Metro Area",6426214,6426231,6451833,6571537,6706020,6817243,6950715,7101031,7253424,7399662
310M300US19140,19140,"Dalton, GA Metro Area",142227,142227,142315,142466,142528,142233,142767,143523,144074,144440
310M300US19180,19180,"Danville, IL Metro Area",81625,81625,81639,81399,80823,80578,79800,79187,78560,77909
